symbol,direction,entry_time,entry_price,sl,target1,target2,rr1,outcome,exit_price,exit_time,pnl_pts
NIFTY,SELL,2026-02-24 09:15:00+05:30,25548.65,25625.3,25395.36,25242.07,2.0,T1_HIT,25395.36,2026-02-24 12:45:00+05:30,153.29
NIFTY,BUY,2026-02-25 09:30:00+05:30,25561.75,25485.06,25715.12,25868.49,2.0,SL_HIT,25485.06,2026-02-25 12:45:00+05:30,-76.69
NIFTY,SELL,2026-02-25 13:00:00+05:30,25462.6,25538.99,25309.82,25157.05,2.0,SL_HIT,25538.99,2026-02-26 09:15:00+05:30,-76.39
NIFTY,BUY,2026-02-26 10:00:00+05:30,25558.25,25481.58,25711.6,25864.95,2.0,SL_HIT,25481.58,2026-02-26 11:30:00+05:30,-76.67
NIFTY,BUY,2026-02-26 15:15:00+05:30,25493.3,25416.82,25646.26,25799.22,2.0,SL_HIT,25416.82,2026-02-27 09:15:00+05:30,-76.48
NIFTY,BUY,2026-03-04 14:45:00+05:30,24582.95,24509.2,24730.45,24877.94,2.0,SL_HIT,24509.2,2026-03-04 15:00:00+05:30,-73.75
NIFTY,SELL,2026-03-04 15:15:00+05:30,24473.95,24547.37,24327.11,24180.26,2.0,SL_HIT,24547.37,2026-03-05 09:15:00+05:30,-73.42
NIFTY,SELL,2026-03-06 11:00:00+05:30,24617.6,24691.45,24469.89,24322.19,2.0,T1_HIT,24469.89,2026-03-06 14:45:00+05:30,147.71
NIFTY,BUY,2026-03-10 09:15:00+05:30,24159.8,24087.32,24304.76,24449.72,2.0,SL_HIT,24087.32,2026-03-10 09:30:00+05:30,-72.48
NIFTY,SELL,2026-03-11 10:15:00+05:30,24121.65,24194.02,23976.92,23832.19,2.0,T1_HIT,23976.92,2026-03-11 11:45:00+05:30,144.73
NIFTY,BUY,2026-03-16 14:15:00+05:30,23347.85,23277.81,23487.94,23628.02,2.0,T1_HIT,23487.94,2026-03-16 14:45:00+05:30,140.09
NIFTY,SELL,2026-03-19 09:15:00+05:30,23316.05,23386.0,23176.15,23036.26,2.0,T1_HIT,23176.15,2026-03-19 13:15:00+05:30,139.9
NIFTY,BUY,2026-03-20 10:45:00+05:30,23296.6,23226.71,23436.38,23576.16,2.0,SL_HIT,23226.71,2026-03-20 11:45:00+05:30,-69.89
NIFTY,SELL,2026-03-20 12:15:00+05:30,23155.15,23224.62,23016.22,22877.29,2.0,SL_HIT,23224.62,2026-03-20 12:45:00+05:30,-69.47
NIFTY,BUY,2026-03-24 09:45:00+05:30,22754.2,22685.94,22890.72,23027.25,2.0,SL_HIT,22685.94,2026-03-24 10:00:00+05:30,-68.26
NIFTY,SELL,2026-03-27 09:15:00+05:30,23057.55,23126.72,22919.21,22780.86,2.0,T1_HIT,22919.21,2026-03-27 12:00:00+05:30,138.35
NIFTY,BUY,2026-04-01 09:30:00+05:30,22854.95,22786.38,22992.08,23129.21,2.0,SL_HIT,22786.38,2026-04-01 10:15:00+05:30,-68.56
NIFTY,SELL,2026-04-01 14:45:00+05:30,22647.8,22715.74,22511.91,22376.03,2.0,T2_HIT,22376.03,2026-04-02 09:15:00+05:30,271.77
NIFTY,BUY,2026-04-02 13:45:00+05:30,22530.35,22462.76,22665.53,22800.71,2.0,T1_HIT,22665.53,2026-04-02 14:15:00+05:30,135.18
NIFTY,SELL,2026-04-09 10:45:00+05:30,23828.75,23900.24,23685.78,23542.8,2.0,SL_HIT,23900.24,2026-04-09 11:45:00+05:30,-71.49
NIFTY,BUY,2026-04-09 12:00:00+05:30,23881.25,23809.61,24024.54,24167.82,2.0,SL_HIT,23809.61,2026-04-09 12:45:00+05:30,-71.64
NIFTY,BUY,2026-04-10 09:30:00+05:30,23948.15,23876.31,24091.84,24235.53,2.0,SL_HIT,23876.31,2026-04-13 09:15:00+05:30,-71.84
NIFTY,BUY,2026-04-13 13:45:00+05:30,23893.7,23822.02,24037.06,24180.42,2.0,SL_HIT,23822.02,2026-04-13 15:15:00+05:30,-71.68
NIFTY,SELL,2026-04-16 12:15:00+05:30,24162.95,24235.44,24017.97,23872.99,2.0,SL_HIT,24235.44,2026-04-16 14:45:00+05:30,-72.49
NIFTY,BUY,2026-04-17 09:45:00+05:30,24232.1,24159.4,24377.49,24522.88,2.0,T1_HIT,24377.49,2026-04-20 15:00:00+05:30,145.39
NIFTY,SELL,2026-04-22 09:45:00+05:30,24382.25,24455.4,24235.96,24089.66,2.0,SL_HIT,24455.4,2026-04-22 14:00:00+05:30,-73.15
